Step;RecallED;PrecisionED;RecallLCS;PrecisionLCS;RecallPM;PrecisionPM
0,01;0,5;0,55862;0,5;0,57181;1;1;
0,02;0,5;0,55862;0,5;0,57181;1;1;
0,03;0,42222;0,66129;0,5;0,56505;1;1;
0,04;0,30833;0,73939;0,35556;0,64914;0,81818;1;
0,05;0,30833;0,73664;0,35556;0,64561;0,69231;1;
0,06;0,30833;0,73262;0,35556;0,64046;0,69231;1;
0,07;0,30833;0,73212;0,30833;0,73212;0,69231;1;
0,08;0,30833;0,73212;0,30833;0,73212;0,69231;1;
0,09;0,34167;0,73198;0,34167;0,73198;0,64286;1;
0,10;0,34167;0,73188;0,34167;0,73188;0,6;1;
0,11;0,35833;0,73294;0,35833;0,73294;0,52941;1;
0,12;0,35833;0,73294;0,35833;0,73294;0,52941;1;
0,13;0,35833;0,73294;0,35833;0,73294;0,52941;1;
0,14;0,47694;0,69545;0,47694;0,69545;0,52941;1;
0,15;0,47694;0,69618;0,47694;0,69618;0,52941;1;
0,16;0,31778;0,76078;0,31778;0,76078;0,52941;1;
0,17;0,46;0,78338;0,46;0,78338;0,52941;1;
0,18;0,45476;0,74194;0,36481;0,75193;0,52941;1;
0,19;0,39426;0,7096;0,32669;0,72016;0,5;1;
0,20;0,40294;0,81301;0,33621;0,79355;0,45;1;
0,21;0,3588;0,86164;0,35331;0,78215;0,45;1;
0,22;0,36373;0,86028;0,35609;0,77982;0,42857;1;
0,23;0,35337;0,81897;0,3502;0,85322;0,40909;1;
0,24;0,31319;0,86154;0,45288;0,91427;0,3913;1;
0,25;0,37058;0,90221;0,41412;0,92941;0,3913;1;
0,26;0,37058;0,90221;0,41412;0,92941;0,3913;1;
0,27;0,33352;0,89198;0,36811;0,91465;0,3913;1;
0,28;0,33484;0,89563;0,36711;0,91825;0,3913;1;
0,29;0,3347;0,90561;0,36373;0,92683;0,34615;1;
0,30;0,37367;0,90717;0,36373;0,92683;0,34615;1;
0,31;0,38419;0,90549;0,37612;0,93387;0,33333;1;
0,32;0,38604;0,89661;0,37814;0,91949;0,32143;1;
0,33;0,38604;0,89661;0,37814;0,913;0,31034;1;
0,34;0,31376;0,90816;0,30996;0,89904;0,3;1;
0,35;0,34347;0,92037;0,32765;0,90989;0,29032;1;
0,36;0,33385;0,91887;0,31723;0,90852;0,29032;1;
0,37;0,33382;0,92217;0,29283;0,91556;0,27273;1;
0,38;0,3086;0,92886;0,29283;0,91556;0,27273;1;
0,39;0,3086;0,92886;0,29283;0,91251;0,27273;1;
0,40;0,3086;0,92611;0,29283;0,91251;0,27273;1;
0,41;0,3086;0,92611;0,29283;0,91292;0,25714;1;
0,42;0,31008;0,92685;0,27191;0,91914;0,25714;1;
0,43;0,35742;0,93993;0,3285;0,93655;0,25714;1;
0,44;0,35742;0,93993;0,3285;0,93655;0,25;1;
0,45;0,41923;0,94226;0,3285;0,93181;0,225;1;
0,46;0,39965;0,9599;0,31025;0,9356;0,225;1;
0,47;0,39965;0,9599;0,31147;0,93953;0,225;1;
0,48;0,37697;0,95343;0,34256;0,95151;0,21951;1;
0,49;0,38468;0,95337;0,39382;0,97316;0,21951;1;
0,50;0,38468;0,95337;0,39382;0,97316;0,21951;1;
0,51;0,349;0,96153;0,35729;0,98148;0,2093;1;
0,52;0,33446;0,96313;0,34175;0,98229;0,19565;1;
0,53;0,32108;0,96421;0,31362;0,9614;0,1875;1;
0,54;0,32508;0,96461;0,31779;0,96181;0,1875;1;
0,55;0,31807;0,96795;0,31779;0,96181;0,18367;1;
0,56;0,29456;0,96131;0,29335;0,96475;0,17647;1;
