Step;RecallED;PrecisionED;RecallLCS;PrecisionLCS;RecallPM;PrecisionPM
0,57;0,29456;0,96131;0,301;0,96723;0,17647;1;
0,58;0,2844;0,96808;0,29025;0,97403;0,17647;1;
0,59;0,27566;0,97748;0,28517;0,9767;0,17647;1;
0,60;0,27566;0,97748;0,28517;0,9767;0,17308;1;
0,61;0,27937;0,98472;0,289;0,9842;0,16981;1;
0,62;0,27937;0,98472;0,289;0,9842;0,16667;1;
0,63;0,27937;0,98472;0,289;0,9842;0,16667;1;
0,64;0,27035;0,98464;0,27937;0,98413;0,16071;1;
0,65;0,2619;0,98512;0,27035;0,98464;0,15789;1;
0,66;0,25397;0,98557;0,25397;0,98557;0,15789;1;
0,67;0,25397;0,98557;0,25397;0,98557;0,15789;1;
0,68;0,25397;0,98557;0,25397;0,98557;0,15;1;
0,69;0,2328;0,98677;0,2328;0,98677;0,14286;1;
0,70;0,2328;0,98677;0,2328;0,98677;0,14286;1;
0,71;0,23938;0,99792;0,23552;0,99614;0,14286;1;
0,72;0,23308;0,99798;0,23552;0,99614;0,14062;1;
0,73;0,22143;0,99792;0,22344;0,99606;0,13846;1;
0,74;0,22143;0,99792;0,22344;0,99606;0,13235;1;
0,75;0,22143;0,99792;0,22344;0,99606;0,13235;1;
0,76;0,22143;0,99773;0,22711;0,99767;0,13235;1;
0,77;0,21088;0,99784;0,21088;0,99784;0,13043;1;
0,78;0,2013;0,99793;0,20598;0,99789;0,13043;1;
0,79;0,19683;0,99798;0,2013;0,99793;0,13043;1;
0,80;0,19255;0,99802;0,19683;0,99798;0,13043;1;
0,81;0,18845;0,99807;0,18845;0,99807;0,12857;1;
0,82;0,19149;1;0,19149;1;0,12857;1;
0,83;0,19149;1;0,19149;1;0,12857;1;
0,84;0,18;1;0,18367;1;0,12857;1;
0,85;0,17647;1;0,18;1;0,12857;1;
0,86;0,17647;1;0,18;1;0,12857;1;
0,87;0,16364;1;0,16364;1;0,12857;1;
0,88;0,16364;1;0,16364;1;0,12857;1;
0,89;0,15789;1;0,15789;1;0,12857;1;
0,90;0,15254;1;0,15254;1;0,12857;1;
0,91;0,15254;1;0,15254;1;0,12857;1;
0,92;0,15254;1;0,15254;1;0,12857;1;
0,93;0,15;1;0,15;1;0,12857;1;
0,94;0,15;1;0,15;1;0,12857;1;
0,95;0,14286;1;0,14286;1;0,12857;1;
0,96;0,13846;1;0,13846;1;0,12857;1;
0,97;0,13433;1;0,13433;1;0,12857;1;
0,98;0,12857;1;0,12857;1;0,12857;1;
0,99;0,12857;1;0,12857;1;0,12857;1;
1,00;0,12857;1;0,12857;1;0,12857;1;
